card_id,customer_id,network,last4,issue_country
1,395,Visa,4758,ZA
2,3021,Visa,2004,ZA
3,1851,Visa,6343,ZA
4,1068,MC,4865,ZA
5,2108,Visa,5037,ZA
6,2159,Visa,3399,ZA
7,3579,MC,4809,ZA
8,2015,MC,7994,ZA
9,1525,MC,9034,ZA
10,3991,MC,0094,ZA
11,522,Visa,4012,ZA
12,1439,Visa,6752,ZA
13,1448,MC,6786,ZA
14,668,MC,5317,ZA
15,3408,MC,6103,ZA
16,4020,MC,3834,ZA
17,4570,Visa,8599,ZA
18,53,Visa,9477,ZA
19,1129,MC,7628,ZA
20,681,MC,5373,ZA
21,2909,MC,8739,ZA
22,2087,MC,8530,ZA
23,1161,MC,8005,ZA
24,4621,MC,7714,ZA
25,2547,Visa,6322,ZA
26,1399,Visa,1681,ZA
27,3006,Visa,7207,ZA
28,4217,MC,2131,ZA
29,4532,Visa,6567,ZA
30,2392,Visa,8754,ZA
31,2531,Visa,4287,ZA
32,987,Visa,1714,ZA
33,3105,MC,1244,ZA
34,3158,Visa,2615,ZA
35,4245,MC,4585,ZA
36,1105,Visa,8410,ZA
37,766,MC,7471,ZA
38,4884,MC,7322,ZA
39,3291,MC,8041,ZA
40,1899,Visa,9994,ZA
41,3860,MC,2979,ZA
42,3595,MC,7592,ZA
43,3417,MC,4183,ZA
44,2374,Visa,8869,ZA
45,1327,MC,6898,ZA
46,3714,MC,5858,ZA
47,794,Visa,1843,ZA
48,2959,Visa,2950,ZA
49,2557,Visa,1381,ZA
50,1926,MC,3962,ZA
51,320,MC,8451,ZA
52,2168,Visa,9461,ZA
53,905,Visa,7892,ZA
54,3805,MC,2331,ZA
55,3388,MC,0943,ZA
56,440,MC,7926,ZA
57,4104,MC,0679,ZA
58,794,MC,9124,ZA
59,1232,MC,8951,ZA
60,2279,Visa,5764,ZA
61,3954,Visa,5198,ZA
62,2003,Visa,8488,ZA
63,4900,Visa,9254,ZA
64,4610,MC,6050,ZA
65,599,MC,6321,ZA
66,4963,MC,7152,ZA
67,4602,MC,9019,ZA
68,4948,Visa,5571,ZA
69,1495,Visa,4417,ZA
70,3446,Visa,5655,ZA
71,1484,MC,5356,ZA
72,682,Visa,1679,ZA
73,1817,MC,1311,ZA
74,417,Visa,5837,ZA
75,2307,Visa,2738,ZA
76,4918,Visa,1856,ZA
77,946,Visa,6031,ZA
78,155,Visa,5657,ZA
79,218,MC,4167,ZA
80,100,MC,3103,ZA
81,1576,Visa,6946,ZA
82,1846,Visa,9443,ZA
83,2673,Visa,6395,ZA
84,902,MC,0511,ZA
85,4274,Visa,5996,ZA
